,,,,,,,,,,
Output Module (D2-08TA),,POINT TYPE,,,,,,,,
,,Hardware Point,,,,,Virtual Point,,,
Point Description,Origin Address,DO,DI,AO,AI,Pwr,,Destination Address,Destination Description,Notes
Output Common (Hot),C,1.0,0.0,0.0,0.0,1.0,0.0,120 V Hot Bus,ZipLink Terminal Block (ZL-RTB20-OUT). 1A inline slow blow fuse,120 V hot feed shared by all outputs
Output 0,OUT0,1.0,0.0,0.0,0.0,0.0,0.0,A1,TX Contactor (GH15-BN),Drives TX coil via ZipLink
Output 1,OUT1,1.0,0.0,0.0,0.0,0.0,0.0,A1,BUS Contactor (GH15-BN),Drives BUS coil via ZipLink
Output 2,OUT2,1.0,0.0,0.0,0.0,0.0,0.0,A1,F1 Contactor (GH15-BN),Drives F1 coil via ZipLink
Output 3,OUT3,1.0,0.0,0.0,0.0,0.0,0.0,95.0,Thermal Overload Relay (RTD32-180),Feeds NC contact 95 → 96 → F2 coil
Module Power Feed,Backplane,0.0,0.0,0.0,0.0,1.0,0.0,Slot 3 Connector,PLC base backplane (120 VAC),No external wiring
,Total Points,=SUM(C5:C10),=SUM(D5:D10),=SUM(E5:E10),=SUM(F5:F10),=SUM(G5:G10),=SUM(H5:H10),,,
